,0,1,2
"[17, 10, 19]",-0.7533761817848982,-0.6055950376840911,-0.5879882909083659
"[12, 7, 19]",-0.5356896243437856,-0.46100421736977754,-0.46732157632308385
"[10, 6, 16]",-0.5197081591139645,-0.5233773285920038,-0.5023491728072086
"[8, 5, 14]",-0.5475605721512391,-0.4673614801379492,-0.5346647636711366
"[4, 5, 14]",-0.3498261203149683,-0.40896247521533524,-0.3708260668707517
"[4, 5, 10]",-0.6209705630749549,-0.47781841197214614,-0.5748859069309938
"[2, 3, 8]",-0.5768802478488906,-0.48786294416880455,-0.5978436848882527
"[17, 9, 19]",-0.3107298577533629,-0.5733766392989191,-0.47498396736583043
"[16, 7, 19]",-0.49840140451525033,-0.47572447585105837,-0.5559903811397982
"[13, 7, 17]",-0.5057020366195725,-0.5503903808501476,-0.9324049272430179
"[11, 7, 15]",-0.5548627013997807,-0.5379912232766175,-0.5182992337920569
"[8, 6, 14]",-0.5338724190581704,-0.5795354397145625,-0.5869377970161267
"[7, 6, 11]",-0.6100502109488997,-0.5400298651851635,-0.4889675071691326
"[6, 4, 10]",-0.5748951516872907,-0.8843871550307234,-0.508357715873474
"[5, 4, 7]",-0.6601069156376989,-0.71569697305502,-0.5036429780491065
"[4, 3, 5]",-0.2935888458168557,-0.9745177748714906,-0.8060695372435167
"[14, 11, 18]",-0.5562084682360635,-0.7392566216734631,-0.6865076260148214
"[11, 11, 15]",-0.4630500184593149,-0.4251740748626304,-0.51958539103596
"[10, 8, 14]",-0.5772626331584547,-0.5536876167343097,-0.6959374077662553
"[10, 5, 13]",-0.5251551348718011,-0.6297918978113626,-0.5512587117791822
"[8, 5, 10]",-0.49876173130665086,-0.553806758905277,-0.6308877096889891
"[8, 4, 7]",-0.6375802894686002,-0.508530775478029,-0.49222865129774446
"[8, 4, 3]",-0.41889260328019384,-0.622293033492627,-1.24630368758945
"[6, 3, 2]",-0.6145828841828589,-0.9206064896680201,-0.4644831471696651
"[17, 12, 19]",-0.6189061301741621,0.2484038239239128,-0.5391803861839024
"[14, 11, 16]",-0.6317191978905352,-0.514338717118868,-0.680549093439385
"[13, 9, 14]",-0.6539472875722165,-0.6478427327954198,-0.4898083641198907
"[12, 7, 13]",-0.5284140652880289,-0.4574866237269809,-0.8490621432796133
"[12, 5, 11]",-0.5333222310807052,-0.5114232132101251,-1.2693668532489542
