,0,1,2
"[8, 4, 6]",-0.297909968720405,-0.5374041947330576,-0.27918983693960003
"[5, 3, 6]",-0.32407211571868855,-0.47348278016905154,-0.42976546644955427
"[16, 10, 17]",-0.6736214798905176,-0.29869969861303164,-0.4008300331103082
"[17, 11, 20]",-0.2218611278193154,-0.837288580446633,-0.22415426520057474
"[14, 10, 15]",-0.3479442129775049,-0.22190630278864804,-0.353292418417404
"[14, 8, 13]",-0.3086036088713243,-0.27069683156246793,-0.38085452762663097
"[12, 6, 12]",-0.33793990395572865,-0.5680733081229581,-0.4632958761985263
"[10, 6, 8]",-0.4693328885524983,-0.31451036641504515,-0.3866051906433555
"[10, 3, 7]",-0.4872477194835144,-0.5741998874226757,-0.3398544434643993
"[6, 1, 6]",-0.5559332056728894,-0.488293792071295,-0.22053386572023598
"[16, 12, 17]",-0.2470550595543083,-0.2841180820077022,-0.42482564911671117
"[16, 12, 13]",-0.07385046614930636,-0.08485342253744863,-0.148506054492029
"[14, 12, 10]",0.0,0.0,0.0
"[11, 11, 8]",0.0,0.0,0.011025303125142192
"[9, 10, 5]",0.0,0.00022351470799511066,0.0
"[6, 8, 4]",-0.22869267637376153,-0.14780273847294448,-0.28979479138101194
"[5, 4, 4]",-0.5020791566849974,-0.12795708266007158,-0.7048274527317377
"[19, 9, 19]",-0.35282276700826,-0.23538670346151538,-0.5871307023161734
"[17, 10, 17]",-0.4303800771021452,-0.34872669416781354,-0.2301224790507567
"[16, 9, 15]",-0.2917722064082323,-0.31231040778789076,-0.2745278850705131
"[11, 6, 12]",-0.33342950699563595,-0.3161083865674512,-0.3584974953467879
"[9, 5, 11]",-0.3099656240787634,-0.19853533489153408,-0.36757455535733385
"[8, 5, 7]",-0.4223899571325074,-0.2644264649697303,-0.7140596303814972
"[6, 4, 6]",-0.3407515914215644,-0.4147061512168784,-0.3940525027875874
"[5, 2, 4]",-0.581218216372475,-0.6385578923260999,-0.3699701346800324
"[18, 12, 18]",-0.08047999620487636,-0.5829642061616751,-0.6994002851990809
"[18, 10, 16]",-0.2800560922061996,-0.5578099534771203,-0.23548566506119445
"[15, 8, 15]",-0.2622959641939918,-0.2619000815861719,-1.1106509972854206
"[12, 6, 14]",-0.3099691985123209,-0.25548772454863167,-0.35059540073934814
"[8, 5, 13]",-0.2462183523302103,-0.25065135227131674,-0.28604106482622427
"[7, 5, 9]",-0.3387952965657976,-0.28848894680838,-0.37142848773597936
"[3, 4, 7]",-0.39857174945081975,-0.6637550150973954,-0.2863414902264282
"[13, 11, 19]",-0.5688006545035124,-0.25011632448768084,-0.22180525973920606
"[13, 11, 15]",-0.25054472353372925,-0.19675055619168647,-0.2961359191844021
"[12, 10, 12]",-0.31520207077612183,-0.24298211456074303,-0.3221501770122133
"[10, 10, 9]",-0.08458614049253806,-0.15942829415570603,-0.130187361234249
"[5, 7, 9]",-0.2529541111860787,-0.35869376168382416,-0.3407030611523132
"[4, 6, 6]",-0.4571156185500021,-0.30930532430644464,-0.3079638193709172
"[2, 4, 5]",-0.7572311430070359,-0.21225597355238024,-0.773006403250211
"[17, 12, 19]",-0.6776543023084004,-0.3109202229857353,-0.7860642170885876
"[15, 10, 19]",-0.6721832170102991,-0.3302573201779563,-0.2770715696862043
"[15, 9, 16]",-0.28589507174051954,-0.29234658100802624,-0.29002367650956373
"[14, 8, 14]",-0.33468786048428517,-0.2596358191414466,-0.3286134600416176
"[10, 5, 14]",-0.25592722668266954,-0.656483027754455,-0.28157346929298266
"[8, 5, 11]",-0.3274613874186427,-0.29285825144707767,-0.7005829271928268
